InstanceType,AcceleratorName,AcceleratorCount,vCPUs,MemoryGiB,Price,Region,GpuInfo,SpotPrice
s1v1m2,,,1,2,0.05,KOREA-WEST-1-SCP-B001,,
s1v2m4,,,2,4,0.10,KOREA-WEST-1-SCP-B001,,
s1v2m8,,,2,8,0.11,KOREA-WEST-1-SCP-B001,,
s1v2m16,,,2,16,0.11,KOREA-WEST-1-SCP-B001,,
s1v2m24,,,2,24,0.12,KOREA-WEST-1-SCP-B001,,
s1v2m32,,,2,32,0.13,KOREA-WEST-1-SCP-B001,,
s1v4m8,,,4,8,0.20,KOREA-WEST-1-SCP-B001,,
s1v4m16,,,4,16,0.21,KOREA-WEST-1-SCP-B001,,
s1v4m32,,,4,32,0.23,KOREA-WEST-1-SCP-B001,,
s1v4m48,,,4,48,0.24,KOREA-WEST-1-SCP-B001,,
s1v4m64,,,4,64,0.26,KOREA-WEST-1-SCP-B001,,
s1v6m12,,,6,12,0.31,KOREA-WEST-1-SCP-B001,,
s1v6m24,,,6,24,0.32,KOREA-WEST-1-SCP-B001,,
s1v6m48,,,6,48,0.34,KOREA-WEST-1-SCP-B001,,
s1v6m72,,,6,72,0.36,KOREA-WEST-1-SCP-B001,,
s1v6m96,,,6,96,0.38,KOREA-WEST-1-SCP-B001,,
s1v8m16,,,8,16,0.41,KOREA-WEST-1-SCP-B001,,
s1v8m32,,,8,32,0.42,KOREA-WEST-1-SCP-B001,,
s1v8m64,,,8,64,0.45,KOREA-WEST-1-SCP-B001,,
s1v8m96,,,8,96,0.48,KOREA-WEST-1-SCP-B001,,
s1v8m128,,,8,128,0.51,KOREA-WEST-1-SCP-B001,,
s1v10m20,,,10,20,0.45,KOREA-WEST-1-SCP-B001,,
s1v10m40,,,10,40,0.47,KOREA-WEST-1-SCP-B001,,
s1v10m80,,,10,80,0.50,KOREA-WEST-1-SCP-B001,,
s1v10m120,,,10,120,0.54,KOREA-WEST-1-SCP-B001,,
s1v10m160,,,10,160,0.58,KOREA-WEST-1-SCP-B001,,
