InstanceType,CurrentGeneration,FreeTierEligible,SupportedUsageClasses,SupportedRootDeviceTypes,SupportedVirtualizationTypes,BareMetal,Hypervisor,ProcessorInfo,VCpuInfo,MemoryInfo,InstanceStorageSupported,EbsInfo,NetworkInfo,PlacementGroupInfo,HibernationSupported,BurstablePerformanceSupported,DedicatedHostsSupported,AutoRecoverySupported,SupportedBootModes,InstanceStorageInfo,GpuInfo,InferenceAcceleratorInfo,Region,PricePerHour,GpuName,GpuCount,FpgaInfo
a1.2xlarge,False,False,"['on-demand', 'spot']",['ebs'],['hvm'],False,nitro,"{'SupportedArchitectures': ['arm64'], 'SustainedClockSpeedInGhz': 2.3}","{'DefaultVCpus': 8, 'DefaultCores': 8, 'DefaultThreadsPerCore': 1}",{'SizeInMiB': 16384},False,"{'EbsOptimizedSupport': 'default', 'EncryptionSupport': 'supported', 'EbsOptimizedInfo': {'BaselineBandwidthInMbps': 1750, 'BaselineThroughputInMBps': 218.75, 'BaselineIops': 10000, 'MaximumBandwidthInMbps': 3500, 'MaximumThroughputInMBps': 437.5, 'MaximumIops': 20000}, 'NvmeSupport': 'required'}","{'NetworkPerformance': 'Up to 10 Gigabit', 'MaximumNetworkInterfaces': 4, 'MaximumNetworkCards': 1, 'DefaultNetworkCardIndex': 0, 'NetworkCards': [{'NetworkCardIndex': 0, 'NetworkPerformance': 'Up to 10 Gigabit', 'MaximumNetworkInterfaces': 4}], 'Ipv4AddressesPerInterface': 15, 'Ipv6AddressesPerInterface': 15, 'Ipv6Supported': True, 'EnaSupport': 'required', 'EfaSupported': False}","{'SupportedStrategies': ['cluster', 'partition', 'spread']}",False,False,True,True,['uefi'],,,,us-east-1,0.204,,,
a1.2xlarge,False,False,"['on-demand', 'spot']",['ebs'],['hvm'],False,nitro,"{'SupportedArchitectures': ['arm64'], 'SustainedClockSpeedInGhz': 2.3}","{'DefaultVCpus': 8, 'DefaultCores': 8, 'DefaultThreadsPerCore': 1}",{'SizeInMiB': 16384},False,"{'EbsOptimizedSupport': 'default', 'EncryptionSupport': 'supported', 'EbsOptimizedInfo': {'BaselineBandwidthInMbps': 1750, 'BaselineThroughputInMBps': 218.75, 'BaselineIops': 10000, 'MaximumBandwidthInMbps': 3500, 'MaximumThroughputInMBps': 437.5, 'MaximumIops': 20000}, 'NvmeSupport': 'required'}","{'NetworkPerformance': 'Up to 10 Gigabit', 'MaximumNetworkInterfaces': 4, 'MaximumNetworkCards': 1, 'DefaultNetworkCardIndex': 0, 'NetworkCards': [{'NetworkCardIndex': 0, 'NetworkPerformance': 'Up to 10 Gigabit', 'MaximumNetworkInterfaces': 4}], 'Ipv4AddressesPerInterface': 15, 'Ipv6AddressesPerInterface': 15, 'Ipv6Supported': True, 'EnaSupport': 'required', 'EfaSupported': False}","{'SupportedStrategies': ['cluster', 'partition', 'spread']}",False,False,True,True,['uefi'],,,,us-east-2,0.204,,,
a1.2xlarge,False,False,"['on-demand', 'spot']",['ebs'],['hvm'],False,nitro,"{'SupportedArchitectures': ['arm64'], 'SustainedClockSpeedInGhz': 2.3}","{'DefaultVCpus': 8, 'DefaultCores': 8, 'DefaultThreadsPerCore': 1}",{'SizeInMiB': 16384},False,"{'EbsOptimizedSupport': 'default', 'EncryptionSupport': 'supported', 'EbsOptimizedInfo': {'BaselineBandwidthInMbps': 1750, 'BaselineThroughputInMBps': 218.75, 'BaselineIops': 10000, 'MaximumBandwidthInMbps': 3500, 'MaximumThroughputInMBps': 437.5, 'MaximumIops': 20000}, 'NvmeSupport': 'required'}","{'NetworkPerformance': 'Up to 10 Gigabit', 'MaximumNetworkInterfaces': 4, 'MaximumNetworkCards': 1, 'DefaultNetworkCardIndex': 0, 'NetworkCards': [{'NetworkCardIndex': 0, 'NetworkPerformance': 'Up to 10 Gigabit', 'MaximumNetworkInterfaces': 4}], 'Ipv4AddressesPerInterface': 15, 'Ipv6AddressesPerInterface': 15, 'Ipv6Supported': True, 'EnaSupport': 'required', 'EfaSupported': False}","{'SupportedStrategies': ['cluster', 'partition', 'spread']}",False,False,True,True,['uefi'],,,,us-west-2,0.204,,,
a1.4xlarge,False,False,"['on-demand', 'spot']",['ebs'],['hvm'],False,nitro,"{'SupportedArchitectures': ['arm64'], 'SustainedClockSpeedInGhz': 2.3}","{'DefaultVCpus': 16, 'DefaultCores': 16, 'DefaultThreadsPerCore': 1}",{'SizeInMiB': 32768},False,"{'EbsOptimizedSupport': 'default', 'EncryptionSupport': 'supported', 'EbsOptimizedInfo': {'BaselineBandwidthInMbps': 3500, 'BaselineThroughputInMBps': 437.5, 'BaselineIops': 20000, 'MaximumBandwidthInMbps': 3500, 'MaximumThroughputInMBps': 437.5, 'MaximumIops': 20000}, 'NvmeSupport': 'required'}","{'NetworkPerformance': 'Up to 10 Gigabit', 'MaximumNetworkInterfaces': 8, 'MaximumNetworkCards': 1, 'DefaultNetworkCardIndex': 0, 'NetworkCards': [{'NetworkCardIndex': 0, 'NetworkPerformance': 'Up to 10 Gigabit', 'MaximumNetworkInterfaces': 8}], 'Ipv4AddressesPerInterface': 30, 'Ipv6AddressesPerInterface': 30, 'Ipv6Supported': True, 'EnaSupport': 'required', 'EfaSupported': False}","{'SupportedStrategies': ['cluster', 'partition', 'spread']}",False,False,True,True,['uefi'],,,,us-east-1,0.408,,,
a1.4xlarge,False,False,"['on-demand', 'spot']",['ebs'],['hvm'],False,nitro,"{'SupportedArchitectures': ['arm64'], 'SustainedClockSpeedInGhz': 2.3}","{'DefaultVCpus': 16, 'DefaultCores': 16, 'DefaultThreadsPerCore': 1}",{'SizeInMiB': 32768},False,"{'EbsOptimizedSupport': 'default', 'EncryptionSupport': 'supported', 'EbsOptimizedInfo': {'BaselineBandwidthInMbps': 3500, 'BaselineThroughputInMBps': 437.5, 'BaselineIops': 20000, 'MaximumBandwidthInMbps': 3500, 'MaximumThroughputInMBps': 437.5, 'MaximumIops': 20000}, 'NvmeSupport': 'required'}","{'NetworkPerformance': 'Up to 10 Gigabit', 'MaximumNetworkInterfaces': 8, 'MaximumNetworkCards': 1, 'DefaultNetworkCardIndex': 0, 'NetworkCards': [{'NetworkCardIndex': 0, 'NetworkPerformance': 'Up to 10 Gigabit', 'MaximumNetworkInterfaces': 8}], 'Ipv4AddressesPerInterface': 30, 'Ipv6AddressesPerInterface': 30, 'Ipv6Supported': True, 'EnaSupport': 'required', 'EfaSupported': False}","{'SupportedStrategies': ['cluster', 'partition', 'spread']}",False,False,True,True,['uefi'],,,,us-east-2,0.408,,,
a1.4xlarge,False,False,"['on-demand', 'spot']",['ebs'],['hvm'],False,nitro,"{'SupportedArchitectures': ['arm64'], 'SustainedClockSpeedInGhz': 2.3}","{'DefaultVCpus': 16, 'DefaultCores': 16, 'DefaultThreadsPerCore': 1}",{'SizeInMiB': 32768},False,"{'EbsOptimizedSupport': 'default', 'EncryptionSupport': 'supported', 'EbsOptimizedInfo': {'BaselineBandwidthInMbps': 3500, 'BaselineThroughputInMBps': 437.5, 'BaselineIops': 20000, 'MaximumBandwidthInMbps': 3500, 'MaximumThroughputInMBps': 437.5, 'MaximumIops': 20000}, 'NvmeSupport': 'required'}","{'NetworkPerformance': 'Up to 10 Gigabit', 'MaximumNetworkInterfaces': 8, 'MaximumNetworkCards': 1, 'DefaultNetworkCardIndex': 0, 'NetworkCards': [{'NetworkCardIndex': 0, 'NetworkPerformance': 'Up to 10 Gigabit', 'MaximumNetworkInterfaces': 8}], 'Ipv4AddressesPerInterface': 30, 'Ipv6AddressesPerInterface': 30, 'Ipv6Supported': True, 'EnaSupport': 'required', 'EfaSupported': False}","{'SupportedStrategies': ['cluster', 'partition', 'spread']}",False,False,True,True,['uefi'],,,,us-west-2,0.408,,,
a1.large,False,False,"['on-demand', 'spot']",['ebs'],['hvm'],False,nitro,"{'SupportedArchitectures': ['arm64'], 'SustainedClockSpeedInGhz': 2.3}","{'DefaultVCpus': 2, 'DefaultCores': 2, 'DefaultThreadsPerCore': 1}",{'SizeInMiB': 4096},False,"{'EbsOptimizedSupport': 'default', 'EncryptionSupport': 'supported', 'EbsOptimizedInfo': {'BaselineBandwidthInMbps': 525, 'BaselineThroughputInMBps': 65.625, 'BaselineIops': 4000, 'MaximumBandwidthInMbps': 3500, 'MaximumThroughputInMBps': 437.5, 'MaximumIops': 20000}, 'NvmeSupport': 'required'}","{'NetworkPerformance': 'Up to 10 Gigabit', 'MaximumNetworkInterfaces': 3, 'MaximumNetworkCards': 1, 'DefaultNetworkCardIndex': 0, 'NetworkCards': [{'NetworkCardIndex': 0, 'NetworkPerformance': 'Up to 10 Gigabit', 'MaximumNetworkInterfaces': 3}], 'Ipv4AddressesPerInterface': 10, 'Ipv6AddressesPerInterface': 10, 'Ipv6Supported': True, 'EnaSupport': 'required', 'EfaSupported': False}","{'SupportedStrategies': ['cluster', 'partition', 'spread']}",False,False,True,True,['uefi'],,,,us-east-1,0.051,,,
a1.large,False,False,"['on-demand', 'spot']",['ebs'],['hvm'],False,nitro,"{'SupportedArchitectures': ['arm64'], 'SustainedClockSpeedInGhz': 2.3}","{'DefaultVCpus': 2, 'DefaultCores': 2, 'DefaultThreadsPerCore': 1}",{'SizeInMiB': 4096},False,"{'EbsOptimizedSupport': 'default', 'EncryptionSupport': 'supported', 'EbsOptimizedInfo': {'BaselineBandwidthInMbps': 525, 'BaselineThroughputInMBps': 65.625, 'BaselineIops': 4000, 'MaximumBandwidthInMbps': 3500, 'MaximumThroughputInMBps': 437.5, 'MaximumIops': 20000}, 'NvmeSupport': 'required'}","{'NetworkPerformance': 'Up to 10 Gigabit', 'MaximumNetworkInterfaces': 3, 'MaximumNetworkCards': 1, 'DefaultNetworkCardIndex': 0, 'NetworkCards': [{'NetworkCardIndex': 0, 'NetworkPerformance': 'Up to 10 Gigabit', 'MaximumNetworkInterfaces': 3}], 'Ipv4AddressesPerInterface': 10, 'Ipv6AddressesPerInterface': 10, 'Ipv6Supported': True, 'EnaSupport': 'required', 'EfaSupported': False}","{'SupportedStrategies': ['cluster', 'partition', 'spread']}",False,False,True,True,['uefi'],,,,us-east-2,0.051,,,
a1.large,False,False,"['on-demand', 'spot']",['ebs'],['hvm'],False,nitro,"{'SupportedArchitectures': ['arm64'], 'SustainedClockSpeedInGhz': 2.3}","{'DefaultVCpus': 2, 'DefaultCores': 2, 'DefaultThreadsPerCore': 1}",{'SizeInMiB': 4096},False,"{'EbsOptimizedSupport': 'default', 'EncryptionSupport': 'supported', 'EbsOptimizedInfo': {'BaselineBandwidthInMbps': 525, 'BaselineThroughputInMBps': 65.625, 'BaselineIops': 4000, 'MaximumBandwidthInMbps': 3500, 'MaximumThroughputInMBps': 437.5, 'MaximumIops': 20000}, 'NvmeSupport': 'required'}","{'NetworkPerformance': 'Up to 10 Gigabit', 'MaximumNetworkInterfaces': 3, 'MaximumNetworkCards': 1, 'DefaultNetworkCardIndex': 0, 'NetworkCards': [{'NetworkCardIndex': 0, 'NetworkPerformance': 'Up to 10 Gigabit', 'MaximumNetworkInterfaces': 3}], 'Ipv4AddressesPerInterface': 10, 'Ipv6AddressesPerInterface': 10, 'Ipv6Supported': True, 'EnaSupport': 'required', 'EfaSupported': False}","{'SupportedStrategies': ['cluster', 'partition', 'spread']}",False,False,True,True,['uefi'],,,,us-west-2,0.051,,,
a1.medium,False,False,"['on-demand', 'spot']",['ebs'],['hvm'],False,nitro,"{'SupportedArchitectures': ['arm64'], 'SustainedClockSpeedInGhz': 2.3}","{'DefaultVCpus': 1, 'DefaultCores': 1, 'DefaultThreadsPerCore': 1}",{'SizeInMiB': 2048},False,"{'EbsOptimizedSupport': 'default', 'EncryptionSupport': 'supported', 'EbsOptimizedInfo': {'BaselineBandwidthInMbps': 300, 'BaselineThroughputInMBps': 37.5, 'BaselineIops': 2500, 'MaximumBandwidthInMbps': 3500, 'MaximumThroughputInMBps': 437.5, 'MaximumIops': 20000}, 'NvmeSupport': 'required'}","{'NetworkPerformance': 'Up to 10 Gigabit', 'MaximumNetworkInterfaces': 2, 'MaximumNetworkCards': 1, 'DefaultNetworkCardIndex': 0, 'NetworkCards': [{'NetworkCardIndex': 0, 'NetworkPerformance': 'Up to 10 Gigabit', 'MaximumNetworkInterfaces': 2}], 'Ipv4AddressesPerInterface': 4, 'Ipv6AddressesPerInterface': 4, 'Ipv6Supported': True, 'EnaSupport': 'required', 'EfaSupported': False}","{'SupportedStrategies': ['cluster', 'partition', 'spread']}",False,False,True,True,['uefi'],,,,us-east-1,0.0255,,,
