InstanceType,AcceleratorName,AcceleratorCount,vCPUs,MemoryGiB,Price,Region,GpuInfo,SpotPrice
latitude_A100_80Gx8,A100_80G,8.0,128.0,1536,8.28,frankfurt-germany-4,"{'Gpus': [{'Name': 'A100_80G', 'Manufacturer': 'NVIDIA', 'Count': 8.0, 'MemoryInfo': {'SizeInMiB': 1572864}}], 'TotalGpuMemoryInMiB': 1572864}",
imwt_A6000,A6000,1.0,6.0,48,0.49,kansascity-usa-6,"{'Gpus': [{'Name': 'A6000', 'Manufacturer': 'NVIDIA', 'Count': 1.0, 'MemoryInfo': {'SizeInMiB': 49152}}], 'TotalGpuMemoryInMiB': 49152}",
imwt_A6000,A6000,1.0,6.0,48,0.49,kansascity-usa-2,"{'Gpus': [{'Name': 'A6000', 'Manufacturer': 'NVIDIA', 'Count': 1.0, 'MemoryInfo': {'SizeInMiB': 49152}}], 'TotalGpuMemoryInMiB': 49152}",
excesssupply_H200_sxm5x8_NVLINK,H200,8.0,128.0,1600,19.6,kansascity-usa-4,"{'Gpus': [{'Name': 'H200', 'Manufacturer': 'NVIDIA', 'Count': 8.0, 'MemoryInfo': {'SizeInMiB': 1638400}}], 'TotalGpuMemoryInMiB': 1638400}",
excesssupply_H200_sxm5x8_NVLINK_eu,H200,8.0,128.0,1600,26.0,kansascity-usa-4,"{'Gpus': [{'Name': 'H200', 'Manufacturer': 'NVIDIA', 'Count': 8.0, 'MemoryInfo': {'SizeInMiB': 1638400}}], 'TotalGpuMemoryInMiB': 1638400}",
excesssupply_H200_sxm5x8_NVLINK_eu,H200,8.0,128.0,1600,26.0,paris-france-3,"{'Gpus': [{'Name': 'H200', 'Manufacturer': 'NVIDIA', 'Count': 8.0, 'MemoryInfo': {'SizeInMiB': 1638400}}], 'TotalGpuMemoryInMiB': 1638400}",
excesssupply_H200_sxm5x8_NVLINK_eu,H200,8.0,128.0,1600,26.0,helsinki-finland-4,"{'Gpus': [{'Name': 'H200', 'Manufacturer': 'NVIDIA', 'Count': 8.0, 'MemoryInfo': {'SizeInMiB': 1638400}}], 'TotalGpuMemoryInMiB': 1638400}",
excesssupply_H200_sxm5_eu,H200,1.0,16.0,200,3.25,helsinki-finland-4,"{'Gpus': [{'Name': 'H200', 'Manufacturer': 'NVIDIA', 'Count': 1.0, 'MemoryInfo': {'SizeInMiB': 204800}}], 'TotalGpuMemoryInMiB': 204800}",
excesssupply_H200_sxm5_eu,H200,1.0,16.0,200,3.25,paris-france-3,"{'Gpus': [{'Name': 'H200', 'Manufacturer': 'NVIDIA', 'Count': 1.0, 'MemoryInfo': {'SizeInMiB': 204800}}], 'TotalGpuMemoryInMiB': 204800}",
excesssupply_H200_sxm5_eu,H200,1.0,16.0,200,3.25,kansascity-usa-4,"{'Gpus': [{'Name': 'H200', 'Manufacturer': 'NVIDIA', 'Count': 1.0, 'MemoryInfo': {'SizeInMiB': 204800}}], 'TotalGpuMemoryInMiB': 204800}",
imwt_A6000x2,A6000,2.0,14.0,96,0.98,kansascity-usa-2,"{'Gpus': [{'Name': 'A6000', 'Manufacturer': 'NVIDIA', 'Count': 2.0, 'MemoryInfo': {'SizeInMiB': 98304}}], 'TotalGpuMemoryInMiB': 98304}",
imwt_A6000x4,A6000,4.0,30.0,192,1.96,kansascity-usa-2,"{'Gpus': [{'Name': 'A6000', 'Manufacturer': 'NVIDIA', 'Count': 4.0, 'MemoryInfo': {'SizeInMiB': 196608}}], 'TotalGpuMemoryInMiB': 196608}",
scaleway_L4,L4,1.0,8.0,48,0.9,paris-france-5,"{'Gpus': [{'Name': 'L4', 'Manufacturer': 'NVIDIA', 'Count': 1.0, 'MemoryInfo': {'SizeInMiB': 49152}}], 'TotalGpuMemoryInMiB': 49152}",
scaleway_L4,L4,1.0,8.0,48,0.9,paris-france-1,"{'Gpus': [{'Name': 'L4', 'Manufacturer': 'NVIDIA', 'Count': 1.0, 'MemoryInfo': {'SizeInMiB': 49152}}], 'TotalGpuMemoryInMiB': 49152}",
scaleway_L4,L4,1.0,8.0,48,0.9,warsaw-poland-1,"{'Gpus': [{'Name': 'L4', 'Manufacturer': 'NVIDIA', 'Count': 1.0, 'MemoryInfo': {'SizeInMiB': 49152}}], 'TotalGpuMemoryInMiB': 49152}",
cudo_A6000,A6000,1.0,6.0,24,0.59,stockholm-sweden-2,"{'Gpus': [{'Name': 'A6000', 'Manufacturer': 'NVIDIA', 'Count': 1.0, 'MemoryInfo': {'SizeInMiB': 24576}}], 'TotalGpuMemoryInMiB': 24576}",
cudo_A6000x2,A6000,2.0,12.0,48,1.17,stockholm-sweden-2,"{'Gpus': [{'Name': 'A6000', 'Manufacturer': 'NVIDIA', 'Count': 2.0, 'MemoryInfo': {'SizeInMiB': 49152}}], 'TotalGpuMemoryInMiB': 49152}",
paperspace_A100_sxm4_80Gx8,A100_80G,8.0,96.0,720,25.76,newyork-usa-1,"{'Gpus': [{'Name': 'A100_80G', 'Manufacturer': 'NVIDIA', 'Count': 8.0, 'MemoryInfo': {'SizeInMiB': 737280}}], 'TotalGpuMemoryInMiB': 737280}",
boostrun_RTX4090x8,RTX4090,8.0,64.0,512,3.92,raleigh-usa-1,"{'Gpus': [{'Name': 'RTX4090', 'Manufacturer': 'NVIDIA', 'Count': 8.0, 'MemoryInfo': {'SizeInMiB': 524288}}], 'TotalGpuMemoryInMiB': 524288}",
hyperstack_H100x8_NVLINK,H100,8.0,252.0,1440,15.6,montreal-canada-2,"{'Gpus': [{'Name': 'H100', 'Manufacturer': 'NVIDIA', 'Count': 8.0, 'MemoryInfo': {'SizeInMiB': 1474560}}], 'TotalGpuMemoryInMiB': 1474560}",
datacrunch_B200x8,B200,8.0,248.0,2000,39.2,helsinki-finland-5,"{'Gpus': [{'Name': 'B200', 'Manufacturer': 'NVIDIA', 'Count': 8.0, 'MemoryInfo': {'SizeInMiB': 2048000}}], 'TotalGpuMemoryInMiB': 2048000}",
datacrunch_B200,B200,1.0,31.0,250,4.9,helsinki-finland-5,"{'Gpus': [{'Name': 'B200', 'Manufacturer': 'NVIDIA', 'Count': 1.0, 'MemoryInfo': {'SizeInMiB': 256000}}], 'TotalGpuMemoryInMiB': 256000}",
