InstanceType,AcceleratorName,AcceleratorCount,vCPUs,MemoryGiB,Price,Region,GpuInfo
gpu_1x_rtx a2000 24,RTX A2000,1,24,32,0.060,Europe-NO,"{'Gpus': [{'Name': 'RTX A2000', 'Manufacturer': 'NVIDIA', 'Count': 1, 'MemoryInfo': {'SizeInMiB': 6144}}], 'TotalGpuMemoryInMiB': 6144}"
gpu_1x_rtx 3060 ti 16,RTX 3060 Ti,1,16,64,0.060,Europe-NO,"{'Gpus': [{'Name': 'RTX 3060 Ti', 'Manufacturer': 'NVIDIA', 'Count': 1, 'MemoryInfo': {'SizeInMiB': 8192}}], 'TotalGpuMemoryInMiB': 8192}"
gpu_1x_rtx a2000 12,RTX A2000,1,12,64,0.060,Europe-NO,"{'Gpus': [{'Name': 'RTX A2000', 'Manufacturer': 'NVIDIA', 'Count': 1, 'MemoryInfo': {'SizeInMiB': 6144}}], 'TotalGpuMemoryInMiB': 6144}"
gpu_1x_rtx 3060 ti 8,RTX 3060 Ti,1,8,64,0.060,Europe-NO,"{'Gpus': [{'Name': 'RTX 3060 Ti', 'Manufacturer': 'NVIDIA', 'Count': 1, 'MemoryInfo': {'SizeInMiB': 8192}}], 'TotalGpuMemoryInMiB': 8192}"
gpu_1x_rtx 3060 ti 20,RTX 3060 Ti,1,20,64,0.060,Europe-NO,"{'Gpus': [{'Name': 'RTX 3060 Ti', 'Manufacturer': 'NVIDIA', 'Count': 1, 'MemoryInfo': {'SizeInMiB': 8192}}], 'TotalGpuMemoryInMiB': 8192}"
gpu_1x_rtx 3060 ti 16,RTX 3060 Ti,1,16,64,0.070,Europe-NO,"{'Gpus': [{'Name': 'RTX 3060 Ti', 'Manufacturer': 'NVIDIA', 'Count': 1, 'MemoryInfo': {'SizeInMiB': 8192}}], 'TotalGpuMemoryInMiB': 8192}"
gpu_1x_rtx a2000 12,RTX A2000,1,12,64,0.070,Europe-NO,"{'Gpus': [{'Name': 'RTX A2000', 'Manufacturer': 'NVIDIA', 'Count': 1, 'MemoryInfo': {'SizeInMiB': 6144}}], 'TotalGpuMemoryInMiB': 6144}"
gpu_1x_rtx 3060 18,RTX 3060,1,18,73,0.070,Europe-PL,"{'Gpus': [{'Name': 'RTX 3060', 'Manufacturer': 'NVIDIA', 'Count': 1, 'MemoryInfo': {'SizeInMiB': 12288}}], 'TotalGpuMemoryInMiB': 12288}"
gpu_1x_rtx 3060 16,RTX 3060,1,16,64,0.070,North America-CA,"{'Gpus': [{'Name': 'RTX 3060', 'Manufacturer': 'NVIDIA', 'Count': 1, 'MemoryInfo': {'SizeInMiB': 12288}}], 'TotalGpuMemoryInMiB': 12288}"
gpu_1x_rtx 3060 25,RTX 3060,1,25,102,0.075,Europe-PL,"{'Gpus': [{'Name': 'RTX 3060', 'Manufacturer': 'NVIDIA', 'Count': 1, 'MemoryInfo': {'SizeInMiB': 12288}}], 'TotalGpuMemoryInMiB': 12288}"
gpu_1x_rtx 3070 8,RTX 3070,1,8,64,0.085,Europe-NO,"{'Gpus': [{'Name': 'RTX 3070', 'Manufacturer': 'NVIDIA', 'Count': 1, 'MemoryInfo': {'SizeInMiB': 8192}}], 'TotalGpuMemoryInMiB': 8192}"
gpu_1x_rtx a4000 10,RTX A4000,1,10,32,0.090,Europe-EE,"{'Gpus': [{'Name': 'RTX A4000', 'Manufacturer': 'NVIDIA', 'Count': 1, 'MemoryInfo': {'SizeInMiB': 16384}}], 'TotalGpuMemoryInMiB': 16384}"
gpu_1x_rtx 4060 ti 24,RTX 4060 Ti,1,24,64,0.100,Europe-NO,"{'Gpus': [{'Name': 'RTX 4060 Ti', 'Manufacturer': 'NVIDIA', 'Count': 1, 'MemoryInfo': {'SizeInMiB': 16384}}], 'TotalGpuMemoryInMiB': 16384}"
