InstanceType,AcceleratorName,AcceleratorCount,DeviceMemory,vCPUs,MemoryGiB,GpuInfo,Price,SpotPrice,Region,Generation
Basic_A0,,,,1.0,0.75,,0.018,0.007519,centralus,V1
Basic_A0,,,,1.0,0.75,,0.018,0.007519,eastus,V1
Basic_A0,,,,1.0,0.75,,0.018,0.007519,eastus2,V1
Basic_A0,,,,1.0,0.75,,0.018,0.007519,northcentralus,V1
Basic_A0,,,,1.0,0.75,,0.018,0.007519,southcentralus,V1
Basic_A0,,,,1.0,0.75,,0.018,0.007519,westcentralus,V1
Basic_A0,,,,1.0,0.75,,0.018,0.007519,westus,V1
Basic_A0,,,,1.0,0.75,,0.018,0.007519,westus2,V1
Basic_A1,,,,1.0,1.75,,0.025,0.01044,centralus,V1
Basic_A1,,,,1.0,1.75,,0.023,0.009607,eastus,V1
Basic_A1,,,,1.0,1.75,,0.024,0.010032,eastus2,V1
Basic_A1,,,,1.0,1.75,,0.023,0.009607,northcentralus,V1
Basic_A1,,,,1.0,1.75,,0.025,0.01044,southcentralus,V1
Basic_A1,,,,1.0,1.75,,0.025,0.01044,westcentralus,V1
Basic_A1,,,,1.0,1.75,,0.031,0.012949,westus,V1
Basic_A1,,,,1.0,1.75,,0.023,0.009607,westus2,V1
Basic_A2,,,,2.0,3.5,,0.085,0.035504,centralus,V1
Basic_A2,,,,2.0,3.5,,0.079,0.032998,eastus,V1
Basic_A2,,,,2.0,3.5,,0.068,0.028404,eastus2,V1
Basic_A2,,,,2.0,3.5,,0.085,0.035504,northcentralus,V1
Basic_A2,,,,2.0,3.5,,0.079,0.032998,southcentralus,V1
Basic_A2,,,,2.0,3.5,,0.079,0.032998,westcentralus,V1
Basic_A2,,,,2.0,3.5,,0.081,0.033834,westus,V1
Basic_A2,,,,2.0,3.5,,0.068,0.028404,westus2,V1
Basic_A3,,,,4.0,7,,0.188,0.078528,centralus,V1
Basic_A3,,,,4.0,7,,0.176,0.073515,eastus,V1
Basic_A3,,,,4.0,7,,0.176,0.073515,eastus2,V1
Basic_A3,,,,4.0,7,,0.188,0.078528,northcentralus,V1
Basic_A3,,,,4.0,7,,0.176,0.073515,southcentralus,V1
Basic_A3,,,,4.0,7,,0.176,0.073515,westcentralus,V1
Basic_A3,,,,4.0,7,,0.188,0.078528,westus,V1
Basic_A3,,,,4.0,7,,0.176,0.073515,westus2,V1
Basic_A4,,,,8.0,14,,0.376,0.157055,centralus,V1
Basic_A4,,,,8.0,14,,0.352,0.14703,eastus,V1
Basic_A4,,,,8.0,14,,0.352,0.14703,eastus2,V1
Basic_A4,,,,8.0,14,,0.376,0.157055,northcentralus,V1
Basic_A4,,,,8.0,14,,0.352,0.14703,southcentralus,V1
Basic_A4,,,,8.0,14,,0.352,0.14703,westcentralus,V1
Basic_A4,,,,8.0,14,,0.376,0.157055,westus,V1
Basic_A4,,,,8.0,14,,0.352,0.14703,westus2,V1
Standard_A0,,,,1.0,0.75,,0.02,0.008354,centralus,V1
Standard_A0,,,,1.0,0.75,,0.02,0.008354,eastus,V1
Standard_A0,,,,1.0,0.75,,0.02,0.008354,eastus2,V1
Standard_A0,,,,1.0,0.75,,0.02,0.008354,northcentralus,V1
Standard_A0,,,,1.0,0.75,,0.02,0.008354,southcentralus,V1
Standard_A0,,,,1.0,0.75,,0.02,0.008354,westcentralus,V1
Standard_A0,,,,1.0,0.75,,0.02,0.008354,westus,V1
Standard_A0,,,,1.0,0.75,,0.02,0.008354,westus2,V1
Standard_A1,,,,1.0,1.75,,0.06,0.025062,centralus,V1
Standard_A1,,,,1.0,1.75,,0.06,0.025062,eastus,V1
Standard_A1,,,,1.0,1.75,,0.06,0.025062,eastus2,V1
Standard_A1,,,,1.0,1.75,,0.06,0.025062,northcentralus,V1
Standard_A1,,,,1.0,1.75,,0.06,0.025062,southcentralus,V1
Standard_A1,,,,1.0,1.75,,0.051,0.021303,westcentralus,V1
