InstanceType,vCPUs,MemoryGiB,AcceleratorName,AcceleratorCount,GpuInfo,Region,AvailabilityZone,Price,SpotPrice
a2-highgpu-1g,12.0,85.0,,,,europe-west4,europe-west4-a,0.81406,0.32565
a2-highgpu-1g,12.0,85.0,,,,us-east1,us-east1-b,0.73948,0.29287
a2-highgpu-2g,24.0,170.0,,,,europe-west4,europe-west4-a,1.62813,0.6513
a2-highgpu-2g,24.0,170.0,,,,us-east1,us-east1-b,1.47895,0.58574
a2-highgpu-4g,48.0,340.0,,,,europe-west4,europe-west4-a,3.25626,1.3026
a2-highgpu-4g,48.0,340.0,,,,us-east1,us-east1-b,2.95791,1.17148
a2-highgpu-8g,96.0,680.0,,,,europe-west4,europe-west4-a,6.51251,2.6052
a2-highgpu-8g,96.0,680.0,,,,us-east1,us-east1-b,5.91582,2.34296
a2-megagpu-16g,96.0,1360.0,,,,europe-west4,europe-west4-a,9.68403,3.87408
a2-ultragpu-1g,12.0,170.0,,,,europe-west4,europe-west4-a,1.2105,0.48426
a2-ultragpu-2g,24.0,340.0,,,,europe-west4,europe-west4-a,2.42101,0.96852
a2-ultragpu-4g,48.0,680.0,,,,europe-west4,europe-west4-a,4.84202,1.93704
a2-ultragpu-8g,96.0,1360.0,,,,europe-west4,europe-west4-a,9.68403,3.87408
c2-standard-16,16.0,64.0,,,,europe-west4,europe-west4-a,0.91949,0.12822
c2-standard-16,16.0,64.0,,,,us-east1,us-east1-b,0.83523,0.10611
c2-standard-30,30.0,120.0,,,,europe-west4,europe-west4-a,1.72404,0.24042
c2-standard-30,30.0,120.0,,,,us-east1,us-east1-b,1.56606,0.19896
c2-standard-4,4.0,16.0,,,,europe-west4,europe-west4-a,0.22987,0.03206
c2-standard-4,4.0,16.0,,,,us-east1,us-east1-b,0.20881,0.02653
c2-standard-60,60.0,240.0,,,,europe-west4,europe-west4-a,3.44808,0.48084
c2-standard-60,60.0,240.0,,,,us-east1,us-east1-b,3.13212,0.39792
c2-standard-8,8.0,32.0,,,,europe-west4,europe-west4-a,0.45974,0.06411
c2-standard-8,8.0,32.0,,,,us-east1,us-east1-b,0.41762,0.05306
c2d-highcpu-112,112.0,224.0,,,,europe-west4,europe-west4-a,4.62213,0.9959
c2d-highcpu-112,112.0,224.0,,,,us-east1,us-east1-b,4.19787,1.12605
c2d-highcpu-16,16.0,32.0,,,,europe-west4,europe-west4-a,0.6603,0.14227
c2d-highcpu-16,16.0,32.0,,,,us-east1,us-east1-b,0.5997,0.16086
c2d-highcpu-2,2.0,4.0,,,,europe-west4,europe-west4-a,0.08254,0.01778
c2d-highcpu-2,2.0,4.0,,,,us-east1,us-east1-b,0.07496,0.02011
c2d-highcpu-32,32.0,64.0,,,,europe-west4,europe-west4-a,1.32061,0.28454
c2d-highcpu-32,32.0,64.0,,,,us-east1,us-east1-b,1.19939,0.32173
c2d-highcpu-4,4.0,8.0,,,,europe-west4,europe-west4-a,0.16508,0.03557
c2d-highcpu-4,4.0,8.0,,,,us-east1,us-east1-b,0.14992,0.04022
c2d-highcpu-56,56.0,112.0,,,,europe-west4,europe-west4-a,2.31106,0.49795
c2d-highcpu-56,56.0,112.0,,,,us-east1,us-east1-b,2.09894,0.56302
c2d-highcpu-8,8.0,16.0,,,,europe-west4,europe-west4-a,0.33015,0.07114
c2d-highcpu-8,8.0,16.0,,,,us-east1,us-east1-b,0.29985,0.08043
c2d-highmem-112,112.0,896.0,,,,europe-west4,europe-west4-a,7.55138,1.62826
c2d-highmem-112,112.0,896.0,,,,us-east1,us-east1-b,6.85832,1.83971
c2d-highmem-16,16.0,128.0,,,,europe-west4,europe-west4-a,1.07877,0.23261
c2d-highmem-16,16.0,128.0,,,,us-east1,us-east1-b,0.97976,0.26282
c2d-highmem-2,2.0,16.0,,,,europe-west4,europe-west4-a,0.13485,0.02908
c2d-highmem-2,2.0,16.0,,,,us-east1,us-east1-b,0.12247,0.03285
c2d-highmem-32,32.0,256.0,,,,europe-west4,europe-west4-a,2.15754,0.46522
c2d-highmem-32,32.0,256.0,,,,us-east1,us-east1-b,1.95952,0.52563
c2d-highmem-4,4.0,32.0,,,,europe-west4,europe-west4-a,0.26969,0.05815
c2d-highmem-4,4.0,32.0,,,,us-east1,us-east1-b,0.24494,0.0657
c2d-highmem-56,56.0,448.0,,,,europe-west4,europe-west4-a,3.77569,0.81413
c2d-highmem-56,56.0,448.0,,,,us-east1,us-east1-b,3.42916,0.91986
c2d-highmem-8,8.0,64.0,,,,europe-west4,europe-west4-a,0.53938,0.1163
c2d-highmem-8,8.0,64.0,,,,us-east1,us-east1-b,0.48988,0.13141
c2d-standard-112,112.0,448.0,,,,europe-west4,europe-west4-a,5.59854,1.20669
c2d-standard-112,112.0,448.0,,,,us-east1,us-east1-b,5.08469,1.36394
c2d-standard-16,16.0,64.0,,,,europe-west4,europe-west4-a,0.79979,0.17238
c2d-standard-16,16.0,64.0,,,,us-east1,us-east1-b,0.72638,0.19485
c2d-standard-2,2.0,8.0,,,,europe-west4,europe-west4-a,0.09997,0.02155
c2d-standard-2,2.0,8.0,,,,us-east1,us-east1-b,0.0908,0.02436
