Region,GPU model,GPU counts,Price,Spot price
us-central1,A100,"1, 2, 4, 8, 16",2.934,0.880
us-central1,T4,"1, 2, 4",0.35,0.11
us-central1,P4,"1, 2, 4",0.60,0.216
us-central1,V100,"1, 2, 4, 8",2.48,0.74
us-central1,P100,"1, 2, 4",1.46,0.43
us-central1,K80,"1, 2, 4, 8",0.45,0.038
us-west1,A100,"1, 2, 4, 8, 16",2.934,0.880
us-west1,T4,"1, 2, 4",0.35,0.11
us-west1,V100,"1, 2, 4, 8",2.48,0.74
us-west1,P100,"1, 2, 4",1.46,0.43
us-west1,K80,"1, 2, 4, 8",0.45,0.038
us-west2,T4,"1, 2, 4",0.41,0.11
us-west2,P4,"1, 2, 4",0.72,0.2592
us-west4,A100,"1, 2, 4, 8, 16",3.102,0.880
us-west4,T4,"1, 2, 4",0.37,0.069841
us-west4,P4,"1, 2, 4",0.60,0.216
us-east1,A100,"1, 2, 4, 8, 16",2.934,0.880
us-east1,T4,"1, 2, 4",0.35,0.11
us-east1,V100,"1, 2, 4, 8",2.48,0.74
us-east1,P100,"1, 2, 4",1.46,0.43
us-east1,K80,"1, 2, 4, 8",0.45,0.038
us-east4,T4,"1, 2, 4",0.35,0.11
us-east4,P4,"1, 2, 4",0.60,0.216
