Region,TPU type,Price,Spot price
us-central1,tpu-v2-8,4.5,1.35
us-central1,tpu-v2-32,24,
us-central1,tpu-v2-128,96,
us-central1,tpu-v2-256,192,
us-central1,tpu-v2-512,384,
us-central1,tpu-v3-8,8,2.4
us-east1,tpu-v3-32,32,
us-east1,tpu-v3-64,64,
us-east1,tpu-v3-128,128,
us-east1,tpu-v3-256,256,
us-east1,tpu-v3-512,512,
us-east1,tpu-v3-1024,1024,
us-east1,tpu-v3-2048,2048,
europe-west4,tpu-v2-8,4.95,1.485
europe-west4,tpu-v2-32,24,
europe-west4,tpu-v2-128,96,
europe-west4,tpu-v2-256,192,
europe-west4,tpu-v2-512,384,
europe-west4,tpu-v3-8,8.8,2.64
europe-west4,tpu-v3-32,32,
europe-west4,tpu-v3-64,64,
europe-west4,tpu-v3-128,128,
europe-west4,tpu-v3-256,256,
europe-west4,tpu-v3-512,512,
europe-west4,tpu-v3-1024,1024,
europe-west4,tpu-v3-2048,2048,
asia-east1,tpu-v2-8,5.22,1.566
