TPU type,Zones
tpu-v2-8,"us-central1-b, us-central1-c, us-central1-f, europe-west4-a, asia-east1-c"
tpu-v2-32,"us-central1-a, europe-west4-a"
tpu-v2-128,"us-central1-a, europe-west4-a"
tpu-v2-256,"us-central1-a, europe-west4-a"
tpu-v2-512,"us-central1-a, europe-west4-a"
tpu-v3-8,"us-central1-a, us-central1-b, us-central1-f, europe-west4-a"
tpu-v3-32,"europe-west4-a, us-east1-d"
tpu-v3-64,"europe-west4-a, us-east1-d"
tpu-v3-128,"europe-west4-a, us-east1-d"
tpu-v3-256,"europe-west4-a, us-east1-d"
tpu-v3-512,"europe-west4-a, us-east1-d"
tpu-v3-1024,"europe-west4-a, us-east1-d"
tpu-v3-2048,"europe-west4-a, us-east1-d"
